"site_id","site_code","site_name"
779048,"435300013",通化县人参产业园S
779785,"511300014",镇江后巷北S
780081,"510300073",无锡张泾S
782512,"021300216",闵行爱博S
782524,"595300122",新东海通达
783017,"791600009",南昌分拨高新梁万派送部
783293,"735300015",新良田乡镇S
783642,"431300026",长春柳影路
747993,"415300001",丹东新城浪头镇S
748239,"731300007",长沙浏阳集散站湖南出货账号2
759549,"576300008",坎门清港镇S
7758,"7943004",江西抚州崇仁
761280,"519300014",江苏溧阳
792472,"536300035",山东潍坊昌乐
800984,"317300037",河间城东S
89637,"7933026",上饶水南街S
92598,"8533006",贵安新区
97664,"9513020",银川商场鞋服直派
103640,"4393008",通化白山长白县
120594,"5353045",莱州市沙河镇S
121597,"5793082",金华白龙桥S
122612,"6323009",滕州鲍沟镇S
131679,"5123222",常熟翁庄
132684,"7973034",南康市区S
137631,"8523027",遵义高铁站
142618,"5235008",高港会员陆年丰
145625,"3513052",清徐徐沟S
146591,"5273006",沭阳南北开发区S
146657,"3793015",开元大道S
147589,"3543011",平遥东城S
158593,"7793021",广西合浦
160616,"5743082",余姚朗霞S
163608,"6353010",高唐姜店S
164601,"7573044",罗村务庄工业园S
165604,"3943010",项城城东S
166604,"5733070",浙江海宁中部
168742,"7693146",厚街嘉华S
169621,"3763003",信阳商城县S
171612,"5953061",尚卿乡开发区S
171627,"3713099",新密曲梁S
172584,"999991",测试一级网点
174598,"7913076",枫林大街KDS
800919,"728300006",湖北陆羽
7995,"5643001",六安舒城
24711,"5143016",扬州万事达
394626,"5513128",安徽巢湖
768489,"510300038",锡山东港
801011,"317300038",河间城区瀛洲镇S
342625,"4313072",长春绿园普阳街S
463606,"5363110",安丘开发区S
498627,"5513146",肥西工业园S
769674,"595300084",安溪聚创祥云S
374637,"3753006",河南平顶山鹰城
604638,"5513163",合肥五金城
764490,"595300063",安溪聚创马尚
804208,"551300066",肥东商贸园S
26980,"0293072",陕西兴平
317634,"4563007",五大连池市文化路
535621,"5103222",滨湖荣巷
804834,"519300073",武进卢西工业园S
4322,"5743027",宁波鄞州东钱湖
476606,"7163032",荆州古城区
13424,"8303012",泸州市南光路
230612,"3173035",沧州沧县西部
742694,"0223360",天津红桥区
400684,"8263204",广安前锋区K
400689,"5983201",福建三明永安K
400698,"5983208",福建三明建宁K
400760,"7913214",信丰K
400761,"6313203",威海塔山K
400768,"8303207",泸州市泰安镇K
400769,"7913221",赣州于都K
400777,"8303211",泸州古蔺县K
400780,"8303212",泸州市南光路K
400788,"6323202",山东枣庄台儿庄K
400795,"6323204",山东枣庄薛城K
400810,"6333204",日照鑫泰K
400816,"6353203",山东聊城临清市K
400863,"8313228",宜宾市高县K
400865,"8313229",宜宾市江安K
400883,"8313240",宜宾市翠屏K
400932,"7123208",湖北大悟K
400947,"7133201",湖北黄冈K
400953,"7133203",黄冈浠水K
400968,"8353205",雅安市天全县K
400993,"8353220",雅安市商贸城K
401054,"8363221",甘孜州得荣县K
401064,"7973229",赣州全南县K
401080,"7983213",景德镇昌南K
401121,"7193210",十堰张湾区K
401139,"8513246",贵阳南明K
401184,"8333219",乐山市沙湾区K
401198,"7313206",长沙岳麓西站K
401247,"7313249",常德鼎城K
401264,"8513266",贵州修文K
401275,"7313265",长沙香樟东路K
401314,"8913213",拉萨市东郊K
401387,"8543208",黔南州独山K
401388,"9113221",黄陵县城K
401394,"8543212",贵州双龙K
401434,"0203120",白云小坪K
401438,"9153216",安康市恒口K
401498,"7353207",郴州市北湖区K
401552,"7363206",常德汉寿县K
401595,"0203170",增城朱村K
401624,"7393208",邵阳新宁K
401636,"7393213",湖南新邵县K
401638,"0233321",重庆大足龙水K
401669,"9973225",新疆阿拉尔物流园K
401731,"7453204",怀化鹤城K
401761,"7453214",怀化城中K
401876,"0243262",沈阳北站K
401989,"0253242",江宁胜太路K
402009,"0103687",昌平桃峪K
402047,"0213704",奉贤光明K
402067,"0253351",江宁东山万达广场K
402100,"7553256",龙岗龙城K
402157,"3163219",河北香河K
402176,"3173239",河北沧州市开发区K
402177,"3173240",河北青县K
402208,"3193228",河北邢台邢家湾K
402251,"5123365",苏州华夏五金机电城K
402265,"5137299",如东西部K
402330,"7553255",光明K
402332,"7553257",深圳南山南油K
402353,"8543204",贵州惠水县K
405688,"5533111",芜湖鸠江二部R
405753,"5173113",宿迁泗洪一部R
405817,"0203402",广州龙溪二部R
405828,"7513111",广东韶关仁化一部R
406629,"7693411",东莞东城六部R
406636,"0203507",广州狮岭一部R
406659,"7363112",常德鼎城一部R
406680,"7753112",玉林福绵二部R
406688,"9313115",甘肃靖远一部R
406739,"3713126",郑州惠济北环一部R
406803,"7783111",河池巴马一部R
406819,"4713111",呼市回民三部R
406823,"3493114",忻州五寨一部R
408653,"7593112",湛江吴川一部R
408674,"9133113",渭南华县一部R
408677,"9113111",延安宝塔一部R
408678,"3733110",新乡原阳一部R
408679,"9113112",延安延川一部R
413619,"5763088",黄岩高桥S
